Company,SFR,Payload (kg),Launch Cost ($M),Price ($/kg),Funding ($M),Launch Class,Orbit Altitude,Tech Type,Country,HQ Location,Description,Funding_Type,Funding_num,Country_Grouped,LC_Heavy,LC_Medium,LC_Small,LC_Tourism,OA_LEO,OA_Lunar,OA_Suborbital,TT_Balloon,TT_Other,TT_Plane,TT_Rocket,TT_Spaceplane,Funding_Missing,log_Payload (kg),log_Launch Cost ($M),log_Price ($/kg),log_Funding_num
ARCA Space Corporation,3,100,1.0,10000,,Small,LEO,Rocket,United States,"Las Cruces, NM",Single Stage to Orbit (SSTO) rocket leveraging aerospike engine technology launching to low earth orbit,Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,0,1,0,1,4.61512051684126,0.6931471805599453,9.210440366976517,2.697663108215723
Rocket Lab,9,300,4.9,16333,257.31,Small,LEO,Rocket,United States,"Long Beach, CA",The first rocket company and launch site for cubesat payloads in New Zealand,Private (reported),257.31,United States,0,0,1,0,1,0,0,0,0,0,1,0,0,5.707110264748875,1.7749523509116738,9.70100410391822,5.5541604140252625
Virgin Galactic/The Spaceship Company,9,372,1.5,4032,Public,Tourism,Suborbital,Spaceplane,United States,"Mojave, CA",Building a fleet of WhiteKnightTwo carrier aircraft and SpaceShipTwo reusable spaceships,Public,13.845,United States,0,0,0,1,0,0,1,0,0,0,0,1,1,5.921578419643816,0.9162907318741551,8.302265794873367,2.697663108215723
Launch Tech Space,1,0,0.0,0,,Small,LEO,Other,United States,"Pasadena, CA","Developing an eco friendly, electromagnetic space launch system",Unknown,13.845,United States,0,0,1,0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.697663108215723
New Rocket Technologies,2,500,9.0,18000,,Small,LEO,Rocket,Russia,Moscow,"Building light, two-stage rockets for small satellite launch",Unknown,13.845,Other,0,0,1,0,1,0,0,0,0,0,1,0,1,6.2166061010848646,2.302585092994046,9.798182590890704,2.697663108215723
iSpace,8,300,5.0,16667,275.00,Small,LEO,Rocket,China,Beijing,iSpace is a Chinese private space launch company developing the Hyperbola rocket family,Private (reported),275.0,China,0,0,1,0,1,0,0,0,0,0,1,0,0,5.707110264748875,1.791759469228055,9.721245992542345,5.62040086571715
Pythom,4,100,1.2,12000,0.75,Small,LEO,Rocket,United States,"Bishop, CA","Pythom is creating a custom-built, two-person craft to explore Mars",Private (reported),0.75,United States,0,0,1,0,1,0,0,0,0,0,1,0,0,4.61512051684126,0.7884573603642702,9.392745258631441,0.5596157879354227
Project S3,1,250,0.0,0,,Small,,Spaceplane,Croatia,Zagreb,Aiming to provide orbital launches of small satellites for the most affordable prices,Unknown,13.845,Other,0,0,1,0,0,0,0,0,0,0,0,1,1,5.5254529391317835,0.0,0.0,2.697663108215723
POLARIS,2,1150,0.0,0,,Small,LEO,Spaceplane,Germany,,"Developing a novel, reusable hypersonic and space launch system",Unknown,13.845,Other,0,0,1,0,1,0,0,0,0,0,0,1,1,7.048386408721883,0.0,0.0,2.697663108215723
Suborbitality,1,75,0.0,5000,,Small,Suborbital,Rocket,Czech Republic,Prague,"Creating a dedicated, reusable, and low-cost suborbital rocket",Unknown,13.845,Other,0,0,1,0,0,0,1,0,0,0,1,0,1,4.330733340286331,0.0,8.517393171418904,2.697663108215723
bluShift Aerospace,4,30,0.0,0,,Small,LEO,Rocket,United States,"Brunswick, ME",Developing a unique line of rockets powered by bio-derived fuels to launch tiny satellites into space,Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,0,1,0,1,3.4339872044851463,0.0,0.0,2.697663108215723
Rocket Factory Augsburg (by OHB),5,1350,0.0,0,,Small,LEO,Rocket,Germany,Augsburg,Offering hassle-free space transportation to dedicated orbits,Unknown,13.845,Other,0,0,1,0,1,0,0,0,0,0,1,0,1,7.208600337960199,0.0,0.0,2.697663108215723
RocketStar,3,300,6.0,20000,,Small,LEO,Rocket,United States,"New York, NY","We offer rideshare and dedicated launch opportunities at severe discounts to other launch providers, and can go from first conversation to launch in 18 months or less",Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,0,1,0,1,5.707110264748875,1.9459101490553132,9.90353755128617,2.697663108215723
Orienspace,5,6500,0.0,0,171.90,Medium,LEO,Rocket,China,,Developing the sea-launched Gravity-1 vehicle,Private (reported),171.9,China,0,1,0,0,1,0,0,0,0,0,1,0,0,8.77971129020447,0.0,0.0,5.152713392689245
Timewarp Space,0,150,0.0,0,,Small,LEO,Rocket,India,"Bangalore, Karnataka",Dedicated to providing frequent and reliable space access,Unknown,13.845,India,0,0,1,0,1,0,0,0,0,0,1,0,1,5.017279836814924,0.0,0.0,2.697663108215723
Vaya Space,5,1000,9.0,9000,9.00,Small,LEO,Rocket,United States,"Cocoa, FL","Offering flexible launch capability with a cycle of less than thirty days to build, integrate, and launch",Private (reported),9.0,United States,0,0,1,0,1,0,0,0,0,0,1,0,0,6.90875477931522,2.302585092994046,9.105090961257085,2.302585092994046
Maritime Launch Services,5,5000,45.0,9000,,Medium,LEO,Rocket,Canada,"Halifax, Nova Scotia","Building up Canada's NewSpace industry as the first private launch provider in Canso, Nova Scotia",Unknown,13.845,Other,0,1,0,0,1,0,0,0,0,0,1,0,1,8.517393171418904,3.828641396489095,9.105090961257085,2.697663108215723
Advanced Rockets Corp,3,25000,4.1,164,0.07,Heavy,LEO,Rocket,United States,"Los Angeles, CA",The Dynamics Enhanced Launch Vehicle is designed for a life of over 400 reuses with very minimal maintenance and rapid turnarounds,Private (reported),0.07,United States,1,0,0,0,1,0,0,0,0,0,1,0,0,10.12667110305036,1.62924053973028,5.10594547390058,0.06765864847381481
ABL Space Systems,7,1350,12.0,8889,420.00,Small,LEO,Rocket,United States,"El Segundo, CA",Building rockets to launch small satellites,Private (reported),420.0,United States,0,0,1,0,1,0,0,0,0,0,1,0,0,7.208600337960199,2.5649493574615367,9.09268232850795,6.042632833682381
Sugarhouse Aerospace,5,50,0.25,5000,,Small,Suborbital,Rocket,United States,"Springville, UT",Sugarhouse Aerospace is built on a simple idea - space shouldn't be reserved for governments and billionaires,Unknown,13.845,United States,0,0,1,0,0,0,1,0,0,0,1,0,1,3.9318256327243257,0.22314355131420976,8.517393171418904,2.697663108215723
Space One,0,0,0.0,0,,,LEO,Other,Luxembourg,Luxembourg,Developing electromagnetic launch systems to change how we launch payloads into space,Unknown,13.845,Other,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.697663108215723
IO Aircraft,2,63500,28.0,441,,"Medium, Heavy",LEO,Spaceplane,United States,"Ankeny, IA","Developing single stage to orbit, fixed wing, hypersonic aircraft",Unknown,13.845,United States,1,1,0,0,1,0,0,0,0,0,0,1,1,11.05881093278828,3.367295829986474,6.091309882077698,2.697663108215723
Space Forest,6,50,0.0,4500,,Small,Suborbital,Rocket,Poland,Gdynia,Commercializing new suborbital rocket technologies,Unknown,13.845,Other,0,0,1,0,0,0,1,0,0,0,1,0,1,3.9318256327243257,0.0,8.412054873292933,2.697663108215723
Marcom,1,1000,8.0,8000,,Small,LEO,Rocket,South Africa,Johannesburg,Developing the Cheetah small launch vehicle,Unknown,13.845,Other,0,0,1,0,1,0,0,0,0,0,1,0,1,6.90875477931522,2.1972245773362196,8.987321812850125,2.697663108215723
LEO Launcher,0,680,0.0,0,,Small,LEO,"Plane, Rocket",United States,"Houston, TX",Long range heavy lift aircraft horizontal launches,Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,1,1,0,1,6.523562306149512,0.0,0.0,2.697663108215723
Astra Space,9,300,3.95,13167,Public,Small,LEO,Rocket,United States,"Alameda, CA",Providing routine launch access to Earth orbit for entrepreneurs and enterprises,Public,13.845,United States,0,0,1,0,1,0,0,0,0,0,1,0,1,5.707110264748875,1.599387576580599,9.485544922916851,2.697663108215723
Perigee Aerospace,5,65,2.0,30769,13.86,Small,LEO,Rocket,South Korea,Daejeon,"Developing Blue Whale 1, a micro launch vehicle",Private (reported),13.86,Other,0,0,1,0,1,0,0,0,0,0,1,0,0,4.189654742026425,1.0986122886681096,10.334295468316087,2.698673039289613
CubeSat Solutions,1,50,0.0,0,,Small,Suborbital,Rocket,Thailand,Chiang Mai,"Designer of low-weight, low-cost satellites and small launching vehicles",Unknown,13.845,Other,0,0,1,0,0,0,1,0,0,0,1,0,1,3.9318256327243257,0.0,0.0,2.697663108215723
LIA Aerospace,2,150,0.0,25000,,Small,LEO,Rocket,Argentina,,Creating the small-sat launch vehicle of the future,Unknown,13.845,Other,0,0,1,0,1,0,0,0,0,0,1,0,1,5.017279836814924,0.0,10.12667110305036,2.697663108215723
Enter Space,1,3000,0.0,1000,,Medium,LEO,Spaceplane,Australia,"Sydney, New South Wales","Developing technology for cost effective, reliable, and frequent access to space",Unknown,13.845,Other,0,1,0,0,1,0,0,0,0,0,0,1,1,8.006700845440367,0.0,6.90875477931522,2.697663108215723
Phoenix Launch Systems,3,31,0.75,34000,0.50,Small,LEO,Rocket,United States,"Las Vegas, NV",Developing responsive launch services and products for the nanosatellite industry,Private (reported),0.5,United States,0,0,1,0,1,0,0,0,0,0,1,0,0,3.4657359027997265,0.5596157879354227,10.434145214930487,0.4054651081081644
Laros,3,150,3.0,20000,,Small,LEO,Rocket,Russia,Moscow,Developing the LAROS-RC2 orbital carrier and accompanying mobile launch infrastructure,Unknown,13.845,Other,0,0,1,0,1,0,0,0,0,0,1,0,1,5.017279836814924,1.3862943611198906,9.90353755128617,2.697663108215723
Astron Systems,2,360,1.5,4167,,Small,LEO,Rocket,United Kingdom,"Thame, England","Bringing about the next generation of low-cost, reusable launch vehicles",Unknown,13.845,United Kingdom,0,0,1,0,1,0,0,0,0,0,1,0,1,5.8888779583328805,0.9162907318741551,8.335191583433202,2.697663108215723
Acrux Aerospace Technologies,3,25,1.0,40000,0.05,Small,LEO,Rocket,Brazil,"Iguassu Falls, Paraná",Designing the Montenegro nanolauncher for launches at a very competitive price,Private (reported),0.05,Other,0,0,1,0,1,0,0,0,0,0,1,0,0,3.258096538021482,0.6931471805599453,10.596659732783579,0.04879016416943201
Space Darts,4,100,0.1,1000,15.00,Small,LEO,Rocket,Russia,Moscow,Mass production of on-demand launchers for small sats,Private (reported),15.0,Other,0,0,1,0,1,0,0,0,0,0,1,0,0,4.61512051684126,0.09531017980432487,6.90875477931522,2.772588722239781
CubeCab,2,5,0.25,50000,,Small,LEO,Rocket,United States,"Mountain View, CA",LEO launch provider for 3U cubesats,Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,0,1,0,1,1.791759469228055,0.22314355131420976,10.819798284210286,2.697663108215723
United Frontiers,0,500,0.0,2000,,Small,LEO,Rocket,United States,"Port Canaveral, FL","SpaceBox is a suborbital launch and recovery platform designed to enable affordable access to space for educational, professional, consumer and hobbyist payloads",Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,0,1,0,1,6.2166061010848646,0.0,7.601402334583733,2.697663108215723
Sierra Space,8,5000,0.0,0,1400.00,Medium,LEO,Spaceplane,United States,"Broomfield, CO","Developing Dream Chaser, a multi-mission space utility vehicle designed to transport crew and cargo to low-Earth orbit",Private (reported),1400.0,United States,0,1,0,0,1,0,0,0,0,0,0,1,0,8.517393171418904,0.0,0.0,7.244941546337007
Pipeline2Space (by HyperSciences),4,10,1.0,100000,,Small,LEO,Other,United States,"Spokane, WA",Using RAM-accelerators to change the economics of space launch,Unknown,13.845,United States,0,0,1,0,1,0,0,0,1,0,0,0,1,2.3978952727983707,0.6931471805599453,11.51293546492023,2.697663108215723
Ripple Aerospace,3,2600,0.0,0,,Medium,LEO,Rocket,Norway,Kristiansand,"Bringing back the ""sea-launch"" concept with full-force!",Unknown,13.845,Other,0,1,0,0,1,0,0,0,0,0,1,0,1,7.8636512654486515,0.0,0.0,2.697663108215723
C6 Launch Systems,3,30,0.0,0,,Small,LEO,Rocket,Canada,"Toronto, Ontario",Provding dedicated launch services for cube and nanosatellites,Unknown,13.845,Other,0,0,1,0,1,0,0,0,0,0,1,0,1,3.4339872044851463,0.0,0.0,2.697663108215723
Phantom Space,3,450,0.0,0,5.00,Small,LEO,Rocket,United States,"Tucson, AZ",Revolutionizing the way we transport satellites and space assets into space,Private (reported),5.0,United States,0,0,1,0,1,0,0,0,0,0,1,0,0,6.111467339502679,0.0,0.0,1.791759469228055
